id,name,product_type,retailer_sku,vendor_sku,price,cost,vendor_name,purchase_name,manage_inventory,quantity_available,in_stock,leadtime_days,backordered_until,vendor_leadtime_days,upc,mpn,other_barcode,price_msrp,price_map,active,dimensions_units,height_dimension,width_dimension,length_dimension,depth_dimension,diameter_dimension,other_dimensions,weight,weight_units,custom_text_1,custom_text_2,custom_text_3
33867689,SMOK RPM 40 Starter Kit - Orange,simple,ONT007367,smo-rpm40-kit-orange,24.3,17.5,__multiple__,IVPS - SMOK RPM 40 (Kit PS) - Orange,true,1,true,,,1,,,,,0.0,true,,0.0,0.0,0.0,0.0,0.0,,0.519,,,,
33867756,Suorin Edge Pod Device Mod- Silver,simple,ONT003901,ONT003901,13.99,12.0,__multiple__,Suorin Edge Mod - Silver,true,224,true,,,1,,,,,0.0,true,,0.0,0.0,0.0,0.0,0.0,,0.306,,,,
33867882,Lush 1500 Puffs Disposable - Pack of 10 - 5% - Lychee Watermelon Ice,simple,DLURGP500013,DLURGP500013,57.04,42.25,NV01,Lush 1500 Puffs Disposable - Pack of 10 - 5% - Lychee Watermelon Ice,true,0,,,,1,,,,,,true,,,,,,,,1.0,,,,
33867883,Lush 1500 Puffs Disposable - Pack of 10 - 5% - Vanilla Strawberry Custard,simple,DLURGP500015,DLURGP500015,57.38,41.0,NV01,Lush 1500 Puffs Disposable - Pack of 10 - 5% - Vanilla Strawberry Custard,true,0,,,,1,,,,,,true,,,,,,,,1.0,,,,
33867888,Puff Flow Disposable Vape - Pack of 10 - 5% - Aloe Mango Melon Ice,simple,ONT015272,ONT015272,94.5,1.0,__multiple__,Puff Flow Disposable Bundle - Aloe Mango Melon Ice 5% (10-Pack),true,0,,,,1,,,,,,true,,,,,,,,1.0,,,,
33867892,Puff Plus Disposable Vape - Pack of 10 - Cool Mint,simple,DPFPLP500016,DPFPLP500016,24.3,18.0,__multiple__,Puff Plus Disposable Vape - Pack of 10 - Cool Mint,true,0,,,,1,,,,,0.0,true,,0.0,0.0,0.0,0.0,0.0,,0.75,,,,
33867893,Puff Plus Disposable Vape - Pack of 10 - Lychee Ice,simple,DPFPLP500023,DPFPLP500023,77.63,57.5,__multiple__,Puff Plus Disposable Vape - Pack of 10 - Lychee Ice,true,0,,,,1,,,,,0.0,true,,0.0,0.0,0.0,0.0,0.0,,0.75,,,,
33867920,Aqua Salts Pure Salt-35mg,simple,ONT001682,ONT001682,6.75,5.0,__multiple__,Aqua Salt - Pure 35mg,true,0,,,,1,,,,,0.0,true,,0.0,0.0,0.0,0.0,0.0,,0.5,,,,
33867921,Aqua Salts Pure Salt-50mg,simple,ONT001683,ONT001683,6.75,5.0,__multiple__,Aqua Salt - Pure 50mg,true,0,,,,1,,,,,0.0,true,,0.0,0.0,0.0,0.0,0.0,,0.5,,,,
33867922,Aqua Salts Rainbow Drop Ice Salt-35mg,simple,ONT006689,ONT006689,6.75,5.0,__multiple__,Aqua Salt Menthol 30mL - Drops 35mg - DISCONTINUED,true,0,,,,1,,,,,0.0,true,,0.0,0.0,0.0,0.0,0.0,,0.5,,,,
33867923,Aqua Salts Rainbow Drop Ice Salt-50mg,simple,ONT006690,ONT006690,6.75,5.0,__multiple__,Aqua Salt Menthol 30mL - Drops 50mg - DISCONTINUED,true,0,,,,1,,,,,0.0,true,,0.0,0.0,0.0,0.0,0.0,,0.5,,,,
33867924,Aqua Salts Rainbow Drop Salt-35mg,simple,ONT001684,ONT001684,6.75,5.0,__multiple__,Aqua Salt - Rainbow Drops 35mg,true,0,,,,1,,,,,0.0,true,,0.0,0.0,0.0,0.0,0.0,,0.5,,,,
33867925,Aqua Salts Sour Melon (Swell) -Salt-35mg,simple,ONT001686,ONT001686,6.75,5.0,__multiple__,Aqua Salt - Swell (Sour Melon) 35mg,true,0,,,,1,,,,,0.0,true,,0.0,0.0,0.0,0.0,0.0,,0.5,,,,
33867965,Cloud Nurdz Peach BlueRazz 100ML-3mg,simple,ONT000893,,9.5,6.25,__multiple__,DDYS - Cloud Nurdz (LIQ FB)(100mL) TF-Nic - Peach Blue Razz 03mg,true,882,true,,,1,,,,,0.0,true,,0.0,0.0,0.0,0.0,0.0,,0.5,,,,
33868166,Yami Vapors Chibi Bar Series 100ML-3mg-Fruitnola,simple,ONT001946,ONT001946,8.99,7.75,__multiple__,Chibi Bar - Fruitnola 03mg,true,151,true,,,1,,,,,0.0,true,,0.0,0.0,0.0,0.0,0.0,,0.5,,,,
33868168,Yami Vapors Chibi Bar Series 100ML-6mg-Fruitnola,simple,ONT001947,ONT001947,4.05,3.0,__multiple__,Chibi Bar - Fruitnola 06mg,true,0,,,,1,,,,,0.0,true,,0.0,0.0,0.0,0.0,0.0,,0.5,,,,
33868169,Yami Vapors Salt Series 30ML,simple,,Yami Vapors Salt Series 30ML,0.0,0.01,NV01,Yami Vapors Salt Series 30ML,true,0,,,,1,,,,,0.0,true,,0.0,0.0,0.0,0.0,0.0,,0.5,,,,
33868170,Yami Vapors Salt Series 30ML-35mg-Icy Trio,simple,JYSITS352001,ONT001918,7.5,6.5,__multiple__,VPWS - Yami (LIQ Salt)(30mL) - Icy Trio 35mg,true,2089,true,,,1,,,,,0.0,true,,0.0,0.0,0.0,0.0,0.0,,0.5,,,,
33868171,Yami Vapors Salt Series 30ML-35mg-Juusu,simple,JYSJUS352001,ONT001920,7.5,6.5,__multiple__,VPWS - Yami (LIQ Salt)(30mL) - Juusu 35mg,true,52,true,,,1,,,,,0.0,true,,0.0,0.0,0.0,0.0,0.0,,0.5,,,,
33868172,Yami Vapors Salt Series 30ML-35mg-Taruto,simple,JYSTTS352001,ONT001922,7.5,6.5,__multiple__,VPWS - Yami (LIQ Salt)(30mL) - Taruto 35mg,true,1007,true,,,1,,,,,0.0,true,,0.0,0.0,0.0,0.0,0.0,,0.5,,,,
33868173,Yami Vapors Salt Series 30ML-50mg-Icy Trio,simple,JYSITS502002,ONT001919,7.5,6.5,__multiple__,VPWS - Yami (LIQ Salt)(30mL) - Icy Trio 50mg,true,1008,true,,,1,,,,,0.0,true,,0.0,0.0,0.0,0.0,0.0,,0.5,,,,
33868174,Yami Vapors Salt Series 30ML-50mg-Juusu,simple,JYSJUS502002,ONT001921,7.5,6.5,__multiple__,VPWS - Yami (LIQ Salt)(30mL) - Juusu 50mg,true,549,true,,,1,,,,,0.0,true,,0.0,0.0,0.0,0.0,0.0,,0.5,,,,
33868175,Yami Vapors Salt Series 30ML-50mg-Taruto,simple,JYSTTS502002,ONT001923,7.5,6.5,__multiple__,VPWS - Yami (LIQ Salt)(30mL) - Taruto 50mg,true,440,true,,,1,,,,,0.0,true,,0.0,0.0,0.0,0.0,0.0,,0.5,,,,
33868177,Yami Vapors Series 100ML-0mg-Butter Brew,simple,JYMBBS005001,ONT001924,9.95,7.28,__multiple__,VPWS - Yami (LIQ FB)(100mL) - Butter Brew 00mg,true,634,true,,,1,,,,,0.0,true,,0.0,0.0,0.0,0.0,0.0,,0.5,,,,
33868178,Yami Vapors Series 100ML-0mg-Juusu,simple,JYMJUS005001,ONT001930,9.95,7.28,__multiple__,VPWS - Yami (LIQ FB)(100mL) - Juusu 00mg,true,798,true,,,1,,,,,0.0,true,,0.0,0.0,0.0,0.0,0.0,,0.5,,,,
33868179,Yami Vapors Series 100ML-0mg-Kemuri,simple,JYMKMS005001,ONT005175,9.95,7.28,__multiple__,VPWS - Yami (LIQ FB)(100mL) - Kemuri 00mg,true,548,true,,,1,,,,,0.0,true,,0.0,0.0,0.0,0.0,0.0,,0.5,,,,
33868180,Yami Vapors Series 100ML-0mg-Taruto,simple,JYMTTS005001,ONT001939,9.95,7.28,__multiple__,VPWS - Yami (LIQ FB)(100mL) - Taruto 00mg,true,382,true,,,1,,,,,0.0,true,,0.0,0.0,0.0,0.0,0.0,,0.5,,,,
33868181,Yami Vapors Series 100ML-3mg-Icy Trio,simple,JYMITS035002,ONT001928,9.95,7.28,__multiple__,VPWS - Yami (LIQ FB)(100mL) - Icy Trio 03mg,true,784,true,,,1,,,,,0.0,true,,0.0,0.0,0.0,0.0,0.0,,0.5,,,,
33868182,Yami Vapors Series 100ML-3mg-Juusu,simple,JYMJUS035002,ONT001931,9.95,7.28,__multiple__,VPWS - Yami (LIQ FB)(100mL) - Juusu 03mg,true,1001,true,,,1,,,,,0.0,true,,0.0,0.0,0.0,0.0,0.0,,0.5,,,,
33868183,Yami Vapors Series 100ML-3mg-Kemuri,simple,JYMKMS035002,ONT005176,9.95,7.5,__multiple__,VPWS - Yami (LIQ FB)(100mL) - Kemuri 03mg,true,811,true,,,1,,,,,0.0,true,,0.0,0.0,0.0,0.0,0.0,,0.5,,,,
33868185,Yami Vapors Series 100ML-3mg-Milkgat,simple,JYMMGS035002,ONT001934,9.95,7.5,__multiple__,VPWS - Yami (LIQ FB)(100mL) - Milkgat 03mg,true,925,true,,,1,,,,,0.0,true,,0.0,0.0,0.0,0.0,0.0,,0.5,,,,
33868186,Yami Vapors Series 100ML-3mg-Shaka,simple,ONT001937,ONT001937,9.95,2.4,__multiple__,Yami Vapor | 100 mL | Shaka | 3 mg,true,134,true,,,1,,,,,0.0,true,,0.0,0.0,0.0,0.0,0.0,,0.5,,,,
33868189,Yami Vapors Series 100ML-3mg-Taruto,simple,JYMTTS035002,JYMTTS035002,9.95,7.5,NV01,Yami Vapors Series 100ML-3mg-Taruto,true,665,true,,,1,,,,,0.0,true,,0.0,0.0,0.0,0.0,0.0,,0.5,,,,
33868191,Yami Vapors Series 100ML-6mg-Butter Brew,simple,JYMBBS065003,ONT001926,9.95,7.28,__multiple__,VPWS - Yami (LIQ FB)(100mL) - Butter Brew 06mg,true,814,true,,,1,,,,,0.0,true,,0.0,0.0,0.0,0.0,0.0,,0.5,,,,
33868236,Ruthless Series E-Liquid 120ML - 0mg - Grape Drank On Ice,simple,ONT014442,JRU120LEGI00,10.4,5.75,__multiple__,RUTH - Ruthless (LIQ FB)(120mL) - Grape Drank on Ice 00mg,true,17,true,,,1,,,,,0.0,true,,0.0,0.0,0.0,0.0,0.0,,0.3,,,,
33868299,GeekVape G Coils Pod Formula 5 Pack - 0.6ohm,simple,ONT013573,HGKVGCSTC06,7.99,5.062,__multiple__,GKVP - Geekvape G Series (Coils)(5-Pack) - G0.6 0.6ohm,true,300,true,,,1,,,,,0.0,true,,0.0,0.0,0.0,0.0,0.0,,1.0,,,,
33868442,Candy King Series 100ML - 0mg - Strawberry Watermelon Bubblegum,simple,ONT001048,ONT001048,8.85,6.0,__multiple__,DRPM - Candy King (LIQ FB)(100mL) - Strawberry Watermelon Bubblegum 00mg,true,0,,,,1,,,,,0.0,true,,0.0,0.0,0.0,0.0,0.0,,0.2,,,,
33868476,Innevape TNT Series 75mL - 0mg - TNT Menthol,simple,ONT014890,ONT014890,8.1,5.75,__multiple__,INNE - Innevape (LIQ FB)(75mL) - TNT Menthol 00mg [Disc.],true,8,true,,,1,,,,,0.0,true,,0.0,0.0,0.0,0.0,0.0,,0.2,,,,
33868499,Naked 100 Series 60ML - 6mg - All Melon,simple,ONT000102,NAK100-MELO-06MG-60ML,11.0,4.5,__multiple__,SCHW - Naked (LIQ FB)(60mL) - All Melon 06mg,true,103,true,,,1,,,,,0.0,true,,0.0,0.0,0.0,0.0,0.0,,0.2,,,,
33868525,Naked 100 Salt Series 30ML - 35mg - Cuban Blend,simple,ONT005157,NKDSLT30ML-CUBA-35MG,9.5,4.25,__multiple__,SCHW - Naked (LIQ Salt)(30mL) - Cuban Blend 35mg,true,723,true,,,1,,,,,0.0,true,,0.0,0.0,0.0,0.0,0.0,,0.1,,,,
33868579,Skwezed Series 100ML - 0mg - Mang Tang (Mango),simple,ONT008461,JSKD1000MO,11.0,7.25,__multiple__,VPRB - Skwezed (LIQ FB)(100mL) - Mang Tang (Mango) 00mg,true,12,true,,,1,,,,,0.0,true,,0.0,0.0,0.0,0.0,0.0,,0.5,,,,
33868582,Skwezed Series 100ML - 3mg - Green Pucker (Green Apple),simple,ONT008456,ONT008456,11.0,7.1,__multiple__,VPRB - Skwezed (LIQ FB)(100mL) - Green Pucker (Green Apple) 03mg,true,151,true,,,1,,,,,0.0,true,,0.0,0.0,0.0,0.0,0.0,,0.5,,,,
33868585,Skwezed Series 100ML - 3mg - Frozen Mang Tang (Mango Ice),simple,ONT012380,JSKD1003MOIE,11.0,7.25,__multiple__,VPRB - Skwezed (LIQ FB)(100mL) Frozen - Mang Tang (Mango Ice) 03mg,true,134,true,,,1,,,,,0.0,true,,0.0,0.0,0.0,0.0,0.0,,0.5,,,,
33868593,Skwezed Series 100ML - 0mg- Peach,simple,ONT008464,ONT008464,11.0,7.25,__multiple__,VPRB - Skwezed (LIQ FB)(100mL) - Peach 00mg,true,1,true,,,1,,,,,0.0,true,,0.0,0.0,0.0,0.0,0.0,,0.5,,,,
33868599,Hohm Tech Hohm Work 18650 2547mAh 25.3A (2 Pack),simple,ONT015675,ONT015675,12.99,9.5,__multiple__,HOHM - Hohm Tech (Batteries 18650) Hohm Work (2-Pack),true,0,,,,1,,,,,0.0,true,,0.0,0.0,0.0,0.0,0.0,,0.2,,,,
33868622,SMOK Novo Mesh Coil Pod 0.8ohm,simple,ONT003076,ONT003076,5.72,4.072,__multiple__,IVPS - SMOK Novo (Pods)(3-Pack) - Mesh 0.8ohm (Discontinued),true,43,true,,,1,,,,,0.0,true,,0.0,0.0,0.0,0.0,0.0,,0.2,,,,
33868642,Candy King On Ice Series 100ML - 0mg - Strawberry Watermelon Bubblegum ICED,simple,ONT001063,CNDYKNGONICE100ML-STWIC-00MG,8.44,6.0,__multiple__,DRPM - Candy King (LIQ FB)(100mL) - Strawberry Watermelon Bubblegum Ice 00mg,true,8,true,,,1,,,,,0.0,true,,0.0,0.0,0.0,0.0,0.0,,0.2,,,,
