SKU,Name,Cost,Quantity
ONT007367,"SMOK RPM 40 Starter Kit - Orange",17.50,0
ONT003901,"Suorin Edge Pod Device Mod- Silver",1.00,0
DLURGP500013,"Lush 1500 Puffs Disposable - Pack of 10 - 5% - Lychee Watermelon Ice",42.25,0
DLURGP500015,"Lush 1500 Puffs Disposable - Pack of 10 - 5% - Vanilla Strawberry Custard",41.00,0
DPFPLP500016,"Puff Plus Disposable Vape - Pack of 10 - Cool Mint",50.00,0
DPFPLP500023,"Puff Plus Disposable Vape - Pack of 10 - Lychee Ice",57.50,0
ONT001682,"Aqua Salts Pure Salt-35mg",5.00,0
ONT001683,"Aqua Salts Pure Salt-50mg",5.00,0
ONT006689,"Aqua Salts Rainbow Drop Ice Salt-35mg",5.00,0
ONT006690,"Aqua Salts Rainbow Drop Ice Salt-50mg",5.00,0
ONT001684,"Aqua Salts Rainbow Drop Salt-35mg",5.00,0
ONT001686,"Aqua Salts Sour Melon (Swell) -Salt-35mg",5.00,0
JYVCFS031001,"Yami Vapors Chibi Bar Series 100ML-3mg-Fruitnola",7.75,151
JYMFNS065001,"Yami Vapors Chibi Bar Series 100ML-6mg-Fruitnola",3.00,0
"Yami Vapors Salt Series 30ML","Yami Vapors Salt Series 30ML",0.01,0
JYSITS352001,"Yami Vapors Salt Series 30ML-35mg-Icy Trio",6.50,2059
JYSJUS352001,"Yami Vapors Salt Series 30ML-35mg-Juusu",6.50,42
JYSTTS352001,"Yami Vapors Salt Series 30ML-35mg-Taruto",6.50,988
JYSITS502002,"Yami Vapors Salt Series 30ML-50mg-Icy Trio",6.50,1005
JYSJUS502002,"Yami Vapors Salt Series 30ML-50mg-Juusu",6.50,539
JYSTTS502002,"Yami Vapors Salt Series 30ML-50mg-Taruto",6.50,433
JYMBBS005001,"Yami Vapors Series 100ML-0mg-Butter Brew",7.50,603
JYMJUS005001,"Yami Vapors Series 100ML-0mg-Juusu",7.50,764
JYMKMS005001,"Yami Vapors Series 100ML-0mg-Kemuri",7.50,526
JYMTTS005001,"Yami Vapors Series 100ML-0mg-Taruto",7.50,371
JYMITS035002,"Yami Vapors Series 100ML-3mg-Icy Trio",7.50,785
JYMJUS035002,"Yami Vapors Series 100ML-3mg-Juusu",7.50,1009
JYMKMS035002,"Yami Vapors Series 100ML-3mg-Kemuri",7.50,871
JYMMGS035002,"Yami Vapors Series 100ML-3mg-Milkgat",7.50,925
JYMSKS065002,"Yami Vapors Series 100ML-3mg-Shaka",2.40,134
JYMTTS035002,"Yami Vapors Series 100ML-3mg-Taruto",7.50,683
JYMBBS065003,"Yami Vapors Series 100ML-6mg-Butter Brew",7.50,149
ONT013573,"GeekVape G Coils Pod Formula 5 Pack - 0.6ohm",5.55,5
JUICE03,"Naked 100 Series 60ML - 6mg - All Melon",4.70,0
JUICE04,"Naked 100 Salt Series 30ML - 35mg - Cuban Blend",4.60,0
ONT003076,"SMOK Novo Mesh Coil Pod 0.8ohm",3.90,0
BSAMSP000003,"Samsung 25R 18650 Battery 1 Piece",3.25,0
COIL25,"Smok Nord 2 RPM Pods (3-Pack)",2.00,1
COIL01,"SMOK RGC Conical Mesh Coils (5-Pack) 0.17ohm",7.65,2
PSMN2P000001,"SMOK Novo 2 Pods (3-Pack) Mesh 1.0ohm",4.20,0
COIL10,"VooPoo UForce Coils 5 Pack - U2 0.4ohm (Single Coil)",6.60,7
COIL38,"SMOK TFV12 Prince Coils 3 Pack - 0.4ohm Prince Q4",4.60,0
COIL14,"SMOK TFV12 Prince Coils 3 Pack - 0.15ohm Prince Triple Mesh",6.50,0
COIL02,"SMOK TFV8 Baby Coils 5 Pack - Baby T6 (0.2ohm Sextuple)",7.20,0
COIL24,"SMOK TFV8 Baby Coils 5 Pack - Baby T8 (0.15ohm Octuple)",9.50,0
COIL35,"SMOK TFV8 Baby Coils 5 Pack - Baby T12 Light - Red",6.90,6
COIL37,"Smok TFV8 Coil 3 Pack - V8-T6 0.2ohm Sextuple",6.40,4
COIL30,"VooPoo Vinci Replacement Pod 2-Pack",3.80,4
BBBBBS000001,"LG HG2 INR18650 LI-MN 3000MAH BATTERY - 20 AMP 1 Piece",1.00,-2
ONT007771,"GeekVape Z Series Coils 5-Pack-Z 0.4ohm",7.76,0
"Antibacterial Hand Sanitizer 60ML","Antibacterial Hand Sanitizer 60ML",1.50,0
"Antibacterial Hand Sanitizer 60ML - 1 Bottle","Antibacterial Hand Sanitizer 60ML - 1 Bottle",0.10,0
"Antibacterial Hand Sanitizer 60ML - 10 Bottles","Antibacterial Hand Sanitizer 60ML - 10 Bottles",0.00,0
"Antibacterial Hand Sanitizer 60ML - 100 Bottles","Antibacterial Hand Sanitizer 60ML - 100 Bottles",0.00,0
"Antibacterial Hand Sanitizer 60ML - 200 Bottles","Antibacterial Hand Sanitizer 60ML - 200 Bottles",0.00,0
"Antibacterial Hand Sanitizer 60ML - 300 Bottles","Antibacterial Hand Sanitizer 60ML - 300 Bottles",0.00,0
"KN95 Respirator - 25 Pack","KN95 Respirator - 25 Pack",0.00,0
"KN95 Respirator - 50 Pack","KN95 Respirator - 50 Pack",0.00,0
"Premium KN95 Respirator - 25 Pack","Premium KN95 Respirator - 25 Pack",0.00,100
"Premium KN95 Respirator - 50 Pack","Premium KN95 Respirator - 50 Pack",0.00,0
COIL19,"SMOK TF Coils 3 Pack - BF-Mesh - 0.25ohm",4.40,0
COIL43,"SMOK RPM Coils 5 Pack - Triple 0.6ohm",6.40,1
J05412,"Halo Collection 60ML - 0mg - Subzero",7.50,0
J05415,"Halo Collection 60ML - 0mg - Tribecca",7.50,0
JHLBLS033001,"Halo Collection 60ML - 3mg - Subzero",7.50,0
JHLBLS033002,"Halo Collection 60ML - 3mg - Tribecca",7.50,0
JHLBLS063001,"Halo Collection 60ML - 6mg - Subzero",7.50,0
JHLBLS063002,"Halo Collection 60ML - 6mg - Tribecca",7.50,0
JHLBLS123001,"Halo Collection 60ML - 12mg - Subzero",7.50,0
JHLBLS123002,"Halo Collection 60ML - 12mg - Tribecca",7.50,0
JINVAS304001,"Innevape 75ML - 3mg - Heisenberg (The Berg) Menthol",5.30,0
JINVAS604001,"Innevape Heisenberg Carousel VMD 75ML - 6mg - Heisenberg (The Berg) Menthol",5.30,0
JINVAS242001,"Innevape Salt 30ML - 24mg - Heisenberg Menthol",5.30,0
COIL22,"Aspire Nautilus BVC Coils Pack - 1.6ohm",6.70,0
DPFBAP500007,"Puff Bar Disposable E-Cigs 1.3mL - Pack of 10 - 5% Nicotine - Strawberry Banana",30.00,0
DLURGP500003,"Lush 1500 Puffs Disposable - Pack of 10 - 5% - Banana Mango",42.50,0
DLURGP500005,"Lush 1500 Puffs Disposable - Pack of 10 - 5% - Custard Lemon Pie",42.50,0
DLURGP500011,"Lush 1500 Puffs Disposable - Pack of 10 - 5% - Lychee Peach Ice",42.50,0
DPFBAP500008,"Puff Bar Disposable E-Cigs 1.3mL - Pack of 10 - 5% Nicotine - Cool Mint5%",30.00,0
DPFBAP500003,"Puff Bar Disposable E-Cigs 1.3mL - Pack of 10 - 5% Nicotine - Lush Ice",40.00,0
DPFBAP500006,"Puff Bar Disposable E-Cigs 1.3mL - Pack of 10 - 5% Nicotine - Pineapple Lemonade",35.00,0
DPFBAP500011,"Puff Bar Disposable E-Cigs 1.3mL - Pack of 10 - 5% Nicotine - Watermelon",30.00,0
DLURGP500004,"Lush 1500 Puffs Disposable - Pack of 10 - 5% - Cool Mint",41.00,0
DLURGP500006,"Lush 1500 Puffs Disposable - Pack of 10 - 5% - Filipino Mango",42.50,0
DLURGP500010,"Lush 1500 Puffs Disposable - Pack of 10 - 5% - Lychee Ice",42.50,0
DLURGP500012,"Lush 1500 Puffs Disposable - Pack of 10 - 5% - Lychee Strawberry Ice",42.00,0
DPFPLP500042,"Puff Plus Disposable Vape - Pack of 10 - Watermelon",42.50,0
DPFPLP500031,"Puff Plus Disposable Vape - Pack of 10 - Peach Ice",42.50,0
DPFPLP500001,"Puff Plus Disposable Vape - Pack of 10 - Aloe Grape",57.50,0
DPFPLP500041,"Puff Plus Disposable Vape - Pack of 10 - Tangerine Ice",57.50,0
BHOHMP000001,"Hohm Tech Hohm Life 18650 3015mAh 22.1A (2 Pack)",11.45,0
DPFBAP500002,"Puff Bar Disposable E-Cigs 1.3mL - Pack of 10 - 5% Nicotine - Cucumber",35.00,0
COIL20,"SMOK Nfix Replacement Pods 3 Pack - Meshed 0.8ohm",4.40,0
COIL40,"VooPoo UForce Coils 5 Pack - N1 0.13hom (Single Mesh)",7.10,0
COIL26,"SMOK Nord Coils 5 Pack - Regular DC Coil - 0.6ohm",6.30,0
COIL21,"Falcon Coils 3 Pack - M1 Mesh 0.15ohm",6.20,0
DPFPLP500028,"Puff Plus Disposable Vape - Pack of 10 - Mixed Berry",57.50,0
DPFPLP500040,"Puff Plus Disposable Vape - Pack of 10 - Strawberry Watermelon",42.50,0
"3-Ply Surgical Face Mask Level 2 - 20 Pack","3-Ply Surgical Face Mask Level 2 - 20 Pack",0.00,500
"3-Ply Surgical Face Mask Level 2 - 100 Pack","3-Ply Surgical Face Mask Level 2 - 100 Pack",0.00,0
BBCETP000002,"Blackcell Electron 18650 Battery 2-Pack",7.50,0
BBCPTP000001,"Blackcell Proton 18650 Single Battery",4.50,0
"Antibacterial Hand Sanitizer 60ML - 20 Bottles","Antibacterial Hand Sanitizer 60ML - 20 Bottles",0.00,1000
"Antibacterial Hand Sanitizer 60ML - 40 Bottles","Antibacterial Hand Sanitizer 60ML - 40 Bottles",0.00,1000
PSMRPP000001,"SMOK RPM Coils 5 Pack - Mesh 0.4ohm",6.25,0
COIL03,"Lost Vape Orion Plus Pod Set",4.00,0
BACKROOM,"Aqua Salts Rainbow Drop Salt-50mg",5.00,0
DPFBAP500004,"Puff Bar Disposable E-Cigs 1.3mL - Pack of 10 - 5% Nicotine - Mango",30.00,0
DPFPLP500021,"Puff Plus Disposable Vape - Pack of 10 - Guava Ice",57.50,0
