product,BoM Type,BoM Lines/Component,BoM Lines/Quantity
HGR16PFE50FPC,Kit,DGBPUS500141,5
HGR16PFE50FNSY,Kit,DGBPUS500142,5
HGR16PFE50FCA,Kit,DGBPUS500143,5
HGR16PFE50FBF,Kit,DGBPUS500144,5
HGR16PFE50FNWN,Kit,DGBPUS500145,5
HGR16PFE50FWG,Kit,DGBPUS500146,5
HGR16SVD50BFF,Kit,DGBSVS500201,5
HGR16SVD50BRI,Kit,DGBSVS500202,5
HGR16SVD50CYSZ,Kit,DGBSVS500204,5
HGR16SVD50MIMT,Kit,DGBSVS500205,5
HGR16SVD50PBS,Kit,DGBSVS500206,5
HGR16SVD50PHRY,Kit,DGBSVS500207,5
HGR16SVD50SYWR,Kit,DGBSVS500208,5
HGR16SVD50SAI,Kit,DGBSVS500209,5
HGR16SVD50SWBR,Kit,DGBSVS500210,5
HGR16SVD50SYBA,Kit,DGBSVS500211,5
HGR16SVD50SWC,Kit,DGBSVS500213,5
HGR16SVD50TEBY,Kit,DGBSVS500214,5
HGR16SVD50TBP,Kit,DGBSVS500215,5
HGR16SVD50CLM,Kit,DGBSVS500203,5
GBP25K-WPR,Kit,DGBPXS500216,5
GBP25K-SC,Kit,DGBPXS500217,5
GBP25K-SS,Kit,DGBPXS500218,5
GBP25K-CMT,Kit,DGBPXS500219,5
GBP25K-BB,Kit,DGBPXS500220,5
HGR16PSE50SBD,Kit,DGBPUS500151,5
