default_code,name,categ_id,list_price,standard_price,type,x_puff_count,x_flavor,x_volume,x_nicotine_level,x_pack_size
DGEBAP500002,Geek Bar Disposable 10 Pack - Blueberry Ice,Disposables,19.99,36.5,goods,0,Blueberry Ice,,,10
DGEBAP500008,Geek Bar Disposable 10 Pack - Sweet Strawberry,Disposables,19.99,36.5,goods,0,Sweet Strawberry,,,10
DGEBAP500004,Geek Bar Disposable 10 Pack - Mango Ice,Disposables,19.99,36.5,goods,0,Mango Ice,,,10
DGEBAP500010,Geek Bar Disposable 10 Pack - Watermelon Ice,Disposables,19.99,36.5,goods,0,Watermelon Ice,,,10
DGEBAP500005,Geek Bar Disposable 10 Pack - Menthol,Disposables,19.99,35.0,goods,0,Menthol,,,10
DGEBAP500007,Geek Bar Disposable 10 Pack - Sour Apple,Disposables,19.99,36.5,goods,0,Sour Apple,,,10
DGEBAP500003,Geek Bar Disposable 10 Pack - Lychee Ice,Disposables,19.99,36.5,goods,0,Lychee Ice,,,10
DGEBAP500001,Geek Bar Disposable 10 Pack - Banana Ice,Disposables,19.99,36.5,goods,0,Banana Ice,,,10
DGEBAP500006,Geek Bar Disposable 10 Pack - Peach Ice,Disposables,19.99,36.5,goods,0,Peach Ice,,,10
DGEBAP500009,Geek Bar Disposable 10 Pack - Tobacco,Disposables,19.99,35.0,goods,0,Tobacco,,,10
Geek Bar Pro Disposable 1500 Puffs - Aloe Mango Melon Ice,Geek Bar Pro Single Disposable 1500 Puffs - Aloe Mango Melon Ice,Disposables,9.0,5.8,goods,0,Aloe Mango Melon Ice,,,1
Geek Bar Pro Disposable 1500 Puffs - Blueberry Raspberry Lemon,Geek Bar Pro Single Disposable 1500 Puffs - Blueberry Raspberry Lemon,Disposables,9.0,5.8,goods,0,Blueberry Raspberry Lemon,,,1
Geek Bar Pro Disposable 1500 Puffs - Grape Soda,Geek Bar Pro Single Disposable 1500 Puffs - Grape Soda,Disposables,9.0,5.8,goods,0,Grape Soda,,,1
Geek Bar Pro Disposable 1500 Puffs - Guava Ice,Geek Bar Pro Single Disposable 1500 Puffs - Guava Ice,Disposables,9.0,5.8,goods,0,Guava Ice,,,1
Geek Bar Pro Disposable 1500 Puffs - Icy Cola,Geek Bar Pro Single Disposable 1500 Puffs - Icy Cola,Disposables,9.0,5.8,goods,0,Icy Cola,,,1
Geek Bar Pro Disposable 1500 Puffs - Lush Ice,Geek Bar Pro Single Disposable 1500 Puffs - Lush Ice,Disposables,9.0,5.8,goods,0,Lush Ice,,,1
Geek Bar Pro Disposable 1500 Puffs - Mixed Berries,Geek Bar Pro Single Disposable 1500 Puffs - Mixed Berries,Disposables,9.0,5.8,goods,0,Mixed Berries,,,1
Geek Bar Pro Disposable 1500 Puffs - Orange Soda,Geek Bar Pro Single Disposable 1500 Puffs - Orange Soda,Disposables,9.0,5.8,goods,0,Orange Soda,,,1
Geek Bar Pro Disposable 1500 Puffs - Peach Ice,Geek Bar Pro Single Disposable 1500 Puffs - Peach Ice,Disposables,9.0,5.8,goods,0,Peach Ice,,,1
Geek Bar Pro Disposable 1500 Puffs - Strawberry Banana,Geek Bar Pro Single Disposable 1500 Puffs - Strawberry Banana,Disposables,9.0,5.8,goods,0,Strawberry Banana,,,1
DGEBAP500011,Geek Bar Disposable 10 Pack-Blueberry Bubble Gum,Disposables,19.99,36.5,goods,0,Blueberry Bubble Gum,,,10
DGEBAP500012,Geek Bar Disposable 10 Pack-Blackcurrant Menthol,Disposables,19.99,36.5,goods,0,Blackcurrant Menthol,,,10
