product,inventoried_quantity
DGEBAP500002,0
DGEBAP500008,0
DGEBAP500004,0
DGEBAP500010,0
DGEBAP500005,0
DGEBAP500007,0
DGEBAP500003,0
DGEBAP500001,0
DGEBAP500006,0
DGEBAP500009,0
Geek Bar Pro Disposable 1500 Puffs - Aloe Mango Melon Ice,0
Geek Bar Pro Disposable 1500 Puffs - Blueberry Raspberry Lemon,0
Geek Bar Pro Disposable 1500 Puffs - Grape Soda,0
Geek Bar Pro Disposable 1500 Puffs - Guava Ice,0
Geek Bar Pro Disposable 1500 Puffs - Icy Cola,0
Geek Bar Pro Disposable 1500 Puffs - Lush Ice,0
Geek Bar Pro Disposable 1500 Puffs - Mixed Berries,0
Geek Bar Pro Disposable 1500 Puffs - Orange Soda,0
Geek Bar Pro Disposable 1500 Puffs - Peach Ice,0
Geek Bar Pro Disposable 1500 Puffs - Strawberry Banana,0
DGEBAP500011,0
DGEBAP500012,0
DGEBAP500013,0
DGEBAP500015,0
DGEBAP500014,0
DGEBAP500016,0
DGEBAP500018,0
DGBABP500510,0
DGBMMP500501,0
DGBMMP500502,10
DGBMMP500503,0
DGBMMP500504,177
DGBMMP500505,0
DGBMMP500506,0
DGBMMP500507,0
DGBMMP500508,0
DGBMMP500509,0
DGBMMP500510,0
DGBMMP500511,4
DGBMMP500512,0
DGBMMP500513,0
DGBMMP500514,0
DGBMMP500515,19
DGBMMP500516,0
DGBMMP500517,0
DGBMMP500518,4
DGBMMP500520,31
DGBMMP500521,0
DGBMMP500519,0
HGER16PEDE50BRI,0
HGER16PEDE50PKLE,0
HGER16PEDE50SYBA,0
HGER16PEDE50SYMO,0
HGER16PEDE50SAI,0
HGER16PEDE50TRB,0
HGER16PEDE50WGI,0
HGER16PEDE50FGFB,0
HGER16PEDE50MIMT,0
HGER16PEDE50JPI,0
HGER16PEDE50CACY,0
HGER16PEDE50MOMO,0
HGER16PEDE50MAMN,0
HGER16PEDE50BWPP,0
DGBPUP500116,0
DGBPUP500117,0
DGBPUP500118,0
DGBPUP500119,0
DGBPUP500120,0
ONT038541,0
Pulse-Fuji Melon Ice-5-Pack-5.0%,0
"Geek Bar Pulse 15,000 Puffs Disposable-Icy Ruby-5-Pack-5.0%",0
"Geek Bar Pulse 15,000 Puffs Disposable-Nectarine Ice-5-Pack-5.0%",0
"Geek Bar Pulse 15,000 Puffs Disposable-Rising Sun-5-Pack-5.0%",0
"Pulse 15,000-Sparkling Lemon Mint-5-Pack-5.0%",0
"Geek Bar Pulse 15,000 Puffs Disposable-Stone Freeze-5-Pack-5.0%",0
Geek Bar Pulse-Strawberry CC-5-Pack-5.0%,0
Geek Bar Pulse-Sunny Tart-5-Pack-5.0%,0
HGR16PEDE50BYBS,0
HGR16PEDE50BYWN,0
HGR16PEDE50CYMN,0
GBPULSE15PF-GL,0
GBPULSE15PF-OM,0
GBPULSE15PF-SAB,0
GBPULSE15PF-OC,0
DGBPUS500139,0
DGBPUS500140,0
DGBPUS500141,0
DGBPUS500142,0
DGBPUS500143,543
DGBPUS500144,518
DGBPUS500145,276
DGBPUS500146,268
GBP25K-LBO,0
GBP25K-SBP,0
GBP25K-WI,0
GBP25K-SAI,0
GBP25K-BTF,0
GBP25K-LH,0
GBP25K-BRI,0
GBP25K-SMP,0
GBP25K-MM,0
GBP25K-GR,0
GBP25K-SFF,0
GBP25K-BR,0
GBP25K-RPL,0
GBP25K-BBP,0
GBP25K-OFF,0
DGBSVS500201,0
DGBSVS500202,0
DGBSVS500204,0
DGBSVS500205,0
DGBSVS500206,0
DGBSVS500207,0
DGBSVS500208,0
DGBSVS500209,0
DGBSVS500210,0
DGBSVS500211,0
DGBSVS500212,0
DGBSVS500213,0
DGBSVS500214,0
DGBSVS500215,0
DGBSVS500203,0
DGBXPS500201,0
DGBXPS500202,0
DGBXPS500203,0
DGBPXS500216,348
DGBPXS500217,2915
DGBPXS500218,1863
DGBPXS500219,2073
DGBPXS500220,751
HDR16SYDE50BFF,0
HDR16SYDE50BRI,0
HDR16SYDE50CLM-1,0
HDR16SYDE50CYSZ,0
HDR16SYDE50MIMT,0
HDR16SYDE50PBS-1,0
HDR16SYDE50SYWR-1,0
HDR16SYDE50SAI-1,0
HDR16SYDE50SYIE,0
HDR16SYDE50TEBY,0
HGR16PSE50SRCE,0
HGR16PSE50SRGH,0
DGBPUS500151,600
DGBPUS500152,0
DGBPUS500154,0
DGBPUS500153,0
DGBPXS500224,1423
HGR16PZD0BRI,0
DGBPLS001502,0
DGBPLS001503,780
DGBMBS503001,0
DGBMBS503002,259
DGBMBS503003,77
DGBMBS503004,624
DGBMBS503005,54
DGBMBS503006,261
DGBMBS503007,0
DGBMBS503008,324
DGBMBS503009,435
DGBMBS503010,0
DGBMBS503012,408
DGBPXS500225,1248
DGBMBS503011,29
DGBMNS500101,29
DGBMNS500102,338
DGBMNS500103,0
DGBMNS500104,95
DGBMNS500105,310
DGBMNS500106,305
DGBMNS500109,42
DGBMNS500110,0
DGBPUS500156,2434
DGBPUS500155,3321
DGBPXS002501,186
DGBPXS002502,0
DGBPXS002503,305
DGBPXS002504,0
DGBPXS002505,0
DGEBNS500501,83
DGEBNS500502,37
DGEBNS500503,0
DGEBNS500504,66
DGEBNS500505,120
DGEBNS500506,45
DGEBNS500507,44
DGEBNS500508,62
DGEBNS500509,0
DGEBNS500510,70
DGEBNS500511,45
DGEBNS500512,18
