SKU,Name,Price,Cost,Quantity,UPC,Weight,Volume,Nicotine_Level,Flavor,Unit_Per_Pack,Location_1,Qty_1
ONT007367,"SMOK RPM 40 Starter Kit - Orange",24.30,17.50,0,814014029585003830441685003830441619,,,,,,Z,0
ONT003901,"Suorin Edge Pod Device Mod- Silver",13.99,1.00,0,,,,,,,Z,0
DLURGP500013,"Lush 1500 Puffs Disposable - Pack of 10 - 5% - Lychee Watermelon Ice",57.04,42.25,0,,,,,,,Z,0
DLURGP500015,"Lush 1500 Puffs Disposable - Pack of 10 - 5% - Vanilla Strawberry Custard",57.38,41.00,0,,,,,,,Z,0
DPFPLP500016,"Puff Plus Disposable Vape - Pack of 10 - Cool Mint",24.30,50.00,0,,,,,,,Z,0
DPFPLP500023,"Puff Plus Disposable Vape - Pack of 10 - Lychee Ice",77.63,57.50,0,,,,,,,Z,0
ONT001682,"Aqua Salts Pure Salt-35mg",6.75,5.00,0,,,,,,,Z,0
ONT001683,"Aqua Salts Pure Salt-50mg",6.75,5.00,0,,,,,,,Z,0
ONT006689,"Aqua Salts Rainbow Drop Ice Salt-35mg",6.75,5.00,0,,,,,,,Z,0
ONT006690,"Aqua Salts Rainbow Drop Ice Salt-50mg",6.75,5.00,0,,,,,,,Z,0
ONT001684,"Aqua Salts Rainbow Drop Salt-35mg",6.75,5.00,0,,,,,,,Z,0
ONT001686,"Aqua Salts Sour Melon (Swell) -Salt-35mg",6.75,5.00,0,,,,,,,Z,0
JYVCFS031001,"Yami Vapors Chibi Bar Series 100ML-3mg-Fruitnola",8.99,7.75,151,752830981539,,,,,,Z,151
JYMFNS065001,"Yami Vapors Chibi Bar Series 100ML-6mg-Fruitnola",4.05,3.00,0,,,,,,,Z,0
"Yami Vapors Salt Series 30ML","Yami Vapors Salt Series 30ML",0.00,0.01,0,,,,,,,Z,0
JYSITS352001,"Yami Vapors Salt Series 30ML-35mg-Icy Trio",7.50,6.50,2059,752830786165,,,,,,Z,2060
JYSJUS352001,"Yami Vapors Salt Series 30ML-35mg-Juusu",7.50,6.50,42,752830785861,,,,,,Z,42
JYSTTS352001,"Yami Vapors Salt Series 30ML-35mg-Taruto",7.50,6.50,988,752830785960,,,,,,Z,988
JYSITS502002,"Yami Vapors Salt Series 30ML-50mg-Icy Trio",7.50,6.50,1005,752830922655,,,,,,Z,1025
JYSJUS502002,"Yami Vapors Salt Series 30ML-50mg-Juusu",7.50,6.50,539,752830785762,,,,,,Z,539
JYSTTS502002,"Yami Vapors Salt Series 30ML-50mg-Taruto",7.50,6.50,431,752830415652,,,,,,Z,461
JYMBBS005001,"Yami Vapors Series 100ML-0mg-Butter Brew",9.95,7.50,603,701197971790,,,,,,Z,604
JYMJUS005001,"Yami Vapors Series 100ML-0mg-Juusu",9.95,7.50,764,752830923553,,,,,,Z,766
JYMKMS005001,"Yami Vapors Series 100ML-0mg-Kemuri",9.95,7.50,526,644216148677,,,,,,Z,526
JYMTTS005001,"Yami Vapors Series 100ML-0mg-Taruto",9.95,7.50,371,701197971851,,,,,,Z,417
JYMITS035002,"Yami Vapors Series 100ML-3mg-Icy Trio",9.95,7.50,785,701197973893,,,,,,Z,878
JYMJUS035002,"Yami Vapors Series 100ML-3mg-Juusu",9.95,7.50,1009,752830923751,,,,,,Z,1013
JYMKMS035002,"Yami Vapors Series 100ML-3mg-Kemuri",9.95,7.50,871,644216148776,,,,,,Z,871
JYMMGS035002,"Yami Vapors Series 100ML-3mg-Milkgat",9.95,7.50,925,752830187337,,,,,,Z,1035
JYMSKS065002,"Yami Vapors Series 100ML-3mg-Shaka",4.00,2.40,134,752830801561,,,,,,Z,136
JYMTTS035002,"Yami Vapors Series 100ML-3mg-Taruto",9.95,7.50,683,,0.00,,,,,Z,1062
JYMBBS065003,"Yami Vapors Series 100ML-6mg-Butter Brew",9.95,7.50,146,701197971813,,,,,,Z,208
ONT013573,"GeekVape G Coils Pod Formula 5 Pack - 0.6ohm",7.99,5.55,5,,,,,,,Z,5
JUICE03,"Naked 100 Series 60ML - 6mg - All Melon",11.00,4.70,0,,,,,,,Z,0
JUICE04,"Naked 100 Salt Series 30ML - 35mg - Cuban Blend",9.50,4.60,0,,,,,,,Z,0
ONT003076,"SMOK Novo Mesh Coil Pod 0.8ohm",5.72,3.90,0,,,,,,,Z,0
BSAMSP000003,"Samsung 25R 18650 Battery 1 Piece",3.04,3.25,0,,,,,,,Z,0
COIL25,"Smok Nord 2 RPM Pods (3-Pack)",2.74,2.00,1,,,,,,,Z,1
COIL01,"SMOK RGC Conical Mesh Coils (5-Pack) 0.17ohm",9.71,7.65,2,,,,,,,Z,2
PSMN2P000001,"SMOK Novo 2 Pods (3-Pack) Mesh 1.0ohm",5.68,4.20,0,,,,,,,Z,0
COIL10,"VooPoo UForce Coils 5 Pack - U2 0.4ohm (Single Coil)",8.98,6.60,7,,,,,,,Z,7
COIL38,"SMOK TFV12 Prince Coils 3 Pack - 0.4ohm Prince Q4",6.30,4.60,0,,,,,,,Z,0
COIL14,"SMOK TFV12 Prince Coils 3 Pack - 0.15ohm Prince Triple Mesh",8.90,6.50,0,,,,,,,Z,0
COIL02,"SMOK TFV8 Baby Coils 5 Pack - Baby T6 (0.2ohm Sextuple)",9.75,7.20,0,,,,,,,Z,0
COIL24,"SMOK TFV8 Baby Coils 5 Pack - Baby T8 (0.15ohm Octuple)",12.33,9.50,0,,,,,,,Z,0
COIL35,"SMOK TFV8 Baby Coils 5 Pack - Baby T12 Light - Red",9.11,6.90,6,,,,,,,Z,12
COIL37,"Smok TFV8 Coil 3 Pack - V8-T6 0.2ohm Sextuple",12.00,6.40,4,,,,,,,Z,4
COIL30,"VooPoo Vinci Replacement Pod 2-Pack",0.00,3.80,4,,,,,,,Z,4
BBBBBS000001,"LG HG2 INR18650 LI-MN 3000MAH BATTERY - 20 AMP 1 Piece",3.51,1.00,-2,,,,,,,Z,-2
ONT007771,"GeekVape Z Series Coils 5-Pack-Z 0.4ohm",11.00,7.76,0,,,,,,,Z,4
"Antibacterial Hand Sanitizer 60ML","Antibacterial Hand Sanitizer 60ML",0.00,1.50,0,,,,,,,Z,0
"Antibacterial Hand Sanitizer 60ML - 1 Bottle","Antibacterial Hand Sanitizer 60ML - 1 Bottle",0.14,0.10,0,,,,,,,Z,0
"Antibacterial Hand Sanitizer 60ML - 10 Bottles","Antibacterial Hand Sanitizer 60ML - 10 Bottles",37.99,0.00,0,,,,,,,Z,0
"Antibacterial Hand Sanitizer 60ML - 100 Bottles","Antibacterial Hand Sanitizer 60ML - 100 Bottles",322.05,0.00,0,,,,,,,Z,0
"Antibacterial Hand Sanitizer 60ML - 200 Bottles","Antibacterial Hand Sanitizer 60ML - 200 Bottles",632.50,0.00,0,,,,,,,Z,0
"Antibacterial Hand Sanitizer 60ML - 300 Bottles","Antibacterial Hand Sanitizer 60ML - 300 Bottles",952.30,0.00,0,,,,,,,Z,0
"KN95 Respirator - 25 Pack","KN95 Respirator - 25 Pack",65.99,0.00,0,,,,,,,Z,0
"KN95 Respirator - 50 Pack","KN95 Respirator - 50 Pack",120.99,0.00,0,,,,,,,Z,0
"Premium KN95 Respirator - 25 Pack","Premium KN95 Respirator - 25 Pack",62.11,0.00,100,,,,,,,Z,100
"Premium KN95 Respirator - 50 Pack","Premium KN95 Respirator - 50 Pack",9.99,0.00,0,,,,,,,Z,0
COIL19,"SMOK TF Coils 3 Pack - BF-Mesh - 0.25ohm",6.99,4.40,0,,,,,,,Z,0
COIL43,"SMOK RPM Coils 5 Pack - Triple 0.6ohm",8.71,6.40,1,,,,,,,Z,2
J05412,"Halo Collection 60ML - 0mg - Subzero",9.99,7.50,0,,,,,,,Z,0
J05415,"Halo Collection 60ML - 0mg - Tribecca",9.99,7.50,0,,,,,,,Z,0
JHLBLS033001,"Halo Collection 60ML - 3mg - Subzero",9.99,7.50,0,,,,,,,Z,0
JHLBLS033002,"Halo Collection 60ML - 3mg - Tribecca",9.99,7.50,0,,,,,,,Z,0
JHLBLS063001,"Halo Collection 60ML - 6mg - Subzero",9.99,7.50,0,,,,,,,Z,0
