sku,attribute_set_code,unit_per_pack,product_type,name,weight,product_online,visibility,price,base_image,created_at,qty,parent_sku,brand,color,cost,flavor,manufacturer,nicotine_level,puff_counts,reg_category,volume,pack_size,canonical_name,single_product_sku,original_qty
DLOMYP500501,Disposables,Pack of 10,simple,Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10-Pack-Blue Razz Ice,1.000000,,Not Visible Individually,99.950000,,"7/8/22, 8:13 AM",0,Lost Mary OS5000 Rechargeable Disposable 10-Pack,Lost Mary,,81.0,Blue Razz Ice,Lost Mary,50mg,0,,,10,lost mary os5000 rechargeable disposable 10-pack | 50mg | blue razz ice,,0
DLOMYP500501,Disposables,Pack of 10,simple,Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10-Pack-Blue Razz Ice,1.000000,,Not Visible Individually,99.950000,,"7/8/22, 8:13 AM",0,Lost Mary OS5000 Rechargeable Disposable 10-Pack,Lost Mary,,81.0,Blue Razz Ice,Lost Mary,50mg,0,,,10,lost mary os5000 rechargeable disposable 10-pack | 50mg | blue razz ice,,0
DLOMYP500501,Disposables,Pack of 10,simple,Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10-Pack-Blue Razz Ice,1.000000,,Not Visible Individually,99.950000,,"7/8/22, 8:13 AM",0,Lost Mary OS5000 Rechargeable Disposable 10-Pack,Lost Mary,,81.0,Blue Razz Ice,Lost Mary,50mg,0,,,10,lost mary os5000 rechargeable disposable 10-pack | 50mg | blue razz ice,,0
DLOMYP500502,Disposables,Pack of 10,simple,Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10-Pack-Blueberry Ice,1.000000,,Not Visible Individually,99.950000,,"7/8/22, 8:13 AM",0,Lost Mary OS5000 Rechargeable Disposable 10-Pack,Lost Mary,,81.0,Blueberry Ice,Lost Mary,50mg,0,,,10,lost mary os5000 rechargeable disposable 10-pack | 50mg | blueberry ice,,0
DLOMYP500502,Disposables,Pack of 10,simple,Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10-Pack-Blueberry Ice,1.000000,,Not Visible Individually,99.950000,,"7/8/22, 8:13 AM",0,Lost Mary OS5000 Rechargeable Disposable 10-Pack,Lost Mary,,81.0,Blueberry Ice,Lost Mary,50mg,0,,,10,lost mary os5000 rechargeable disposable 10-pack | 50mg | blueberry ice,,0
DLOMYP500502,Disposables,Pack of 10,simple,Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10-Pack-Blueberry Ice,1.000000,,Not Visible Individually,99.950000,,"7/8/22, 8:13 AM",0,Lost Mary OS5000 Rechargeable Disposable 10-Pack,Lost Mary,,81.0,Blueberry Ice,Lost Mary,50mg,0,,,10,lost mary os5000 rechargeable disposable 10-pack | 50mg | blueberry ice,,0
DLOMYP500503,Disposables,Pack of 10,simple,Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10-Pack-Cranberry Soda,1.000000,,Not Visible Individually,99.950000,,"7/8/22, 8:13 AM",0,Lost Mary OS5000 Rechargeable Disposable 10-Pack,Lost Mary,,81.0,Cranberry Soda,Lost Mary,50mg,0,,,10,lost mary os5000 rechargeable disposable 10-pack | 50mg | cranberry soda,,0
DLOMYP500503,Disposables,Pack of 10,simple,Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10-Pack-Cranberry Soda,1.000000,,Not Visible Individually,99.950000,,"7/8/22, 8:13 AM",0,Lost Mary OS5000 Rechargeable Disposable 10-Pack,Lost Mary,,81.0,Cranberry Soda,Lost Mary,50mg,0,,,10,lost mary os5000 rechargeable disposable 10-pack | 50mg | cranberry soda,,0
DLOMYP500503,Disposables,Pack of 10,simple,Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10-Pack-Cranberry Soda,1.000000,,Not Visible Individually,99.950000,,"7/8/22, 8:13 AM",0,Lost Mary OS5000 Rechargeable Disposable 10-Pack,Lost Mary,,81.0,Cranberry Soda,Lost Mary,50mg,0,,,10,lost mary os5000 rechargeable disposable 10-pack | 50mg | cranberry soda,,0
DLOMYP500504,Disposables,Pack of 10,simple,Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10-Pack-Juicy Peach,1.000000,,Not Visible Individually,99.950000,,"7/8/22, 8:13 AM",0,Lost Mary OS5000 Rechargeable Disposable 10-Pack,Lost Mary,,81.0,Juicy Peach,Lost Mary,50mg,0,,,10,lost mary os5000 rechargeable disposable 10-pack | 50mg | juicy peach,,0
DLOMYP500504,Disposables,Pack of 10,simple,Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10-Pack-Juicy Peach,1.000000,,Not Visible Individually,99.950000,,"7/8/22, 8:13 AM",0,Lost Mary OS5000 Rechargeable Disposable 10-Pack,Lost Mary,,81.0,Juicy Peach,Lost Mary,50mg,0,,,10,lost mary os5000 rechargeable disposable 10-pack | 50mg | juicy peach,,0
