default_code,name,categ_id,list_price,standard_price,type,x_puff_count,x_flavor,x_volume,x_nicotine_level,x_pack_size
DLOMYP500501,Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10-Pack-Blue Razz Ice,Disposables,99.95,81.0,goods,0,Blue Razz Ice,,50mg,10
DLOMYP500501,Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10-Pack-Blue Razz Ice,Disposables,99.95,81.0,goods,0,Blue Razz Ice,,50mg,10
DLOMYP500501,Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10-Pack-Blue Razz Ice,Disposables,99.95,81.0,goods,0,Blue Razz Ice,,50mg,10
DLOMYP500502,Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10-Pack-Blueberry Ice,Disposables,99.95,81.0,goods,0,Blueberry Ice,,50mg,10
DLOMYP500502,Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10-Pack-Blueberry Ice,Disposables,99.95,81.0,goods,0,Blueberry Ice,,50mg,10
DLOMYP500502,Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10-Pack-Blueberry Ice,Disposables,99.95,81.0,goods,0,Blueberry Ice,,50mg,10
DLOMYP500503,Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10-Pack-Cranberry Soda,Disposables,99.95,81.0,goods,0,Cranberry Soda,,50mg,10
DLOMYP500503,Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10-Pack-Cranberry Soda,Disposables,99.95,81.0,goods,0,Cranberry Soda,,50mg,10
DLOMYP500503,Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10-Pack-Cranberry Soda,Disposables,99.95,81.0,goods,0,Cranberry Soda,,50mg,10
DLOMYP500504,Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10-Pack-Juicy Peach,Disposables,99.95,81.0,goods,0,Juicy Peach,,50mg,10
DLOMYP500504,Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10-Pack-Juicy Peach,Disposables,99.95,81.0,goods,0,Juicy Peach,,50mg,10
