sku,attribute_set_code,unit_per_pack,product_type,name,weight,product_online,visibility,price,base_image,created_at,qty,parent_sku,brand,color,cost,flavor,manufacturer,nicotine_level,puff_counts,reg_category,volume,resistance,pack_size,canonical_name,single_product_sku,original_qty,upc,locations,retail_sku
DPFBAP500001,Disposables,Pack of 10,simple,Puff Bar Disposable E-Cigs 1.3mL - Pack of 10 - 5% Nicotine - Blueberry Ice,0.0,,Not Visible Individually,47.250000,,"6/23/20, 9:17 AM",0,Puff Bar Disposable E-Cigs 1.3mL - Pack of 10,Puff,,30.0,Blueberry Ice,Puff,50mg,0,,,,10,disposables_puff_puff bar disposable e-cigs 1.3ml - pack of 10 | 50mg | blueberry ice,,0,,Z:0,DPFBAP500001
DPFBAP500009,Disposables,Pack of 10,simple,Puff Bar Disposable E-Cigs 1.3mL - Pack of 10 - 5% Nicotine - Clear,0.0,,Not Visible Individually,40.500000,,"6/23/20, 9:17 AM",0,Puff Bar Disposable E-Cigs 1.3mL - Pack of 10,Puff,,30.0,Clear,Puff,50mg,0,,,,10,disposables_puff_puff bar disposable e-cigs 1.3ml - pack of 10 | 50mg | clear,,0,,Z:0,DPFBAP500009
DPFBAP500008,Disposables,Pack of 10,simple,Puff Bar Disposable E-Cigs 1.3mL - Pack of 10 - 5% Nicotine - Cool Mint5%,0.0,,Not Visible Individually,40.500000,,"6/23/20, 9:17 AM",0,Puff Bar Disposable E-Cigs 1.3mL - Pack of 10,Puff,,30.0,Cool Mint,Puff,50mg,0,,,,10,disposables_puff_puff bar disposable e-cigs 1.3ml - pack of 10 | 50mg | cool mint,,0,,Z:0,DPFBAP500008
DPFBAP500002,Disposables,Pack of 10,simple,Puff Bar Disposable E-Cigs 1.3mL - Pack of 10 - 5% Nicotine - Cucumber,0.0,,Not Visible Individually,47.250000,,"6/23/20, 9:17 AM",0,Puff Bar Disposable E-Cigs 1.3mL - Pack of 10,Puff,,35.0,Cucumber,Puff,50mg,0,,,,10,disposables_puff_puff bar disposable e-cigs 1.3ml - pack of 10 | 50mg | cucumber,,0,,Z:0,DPFBAP500002
DPFBAP500003,Disposables,Pack of 10,simple,Puff Bar Disposable E-Cigs 1.3mL - Pack of 10 - 5% Nicotine - Lush Ice,0.0,,Not Visible Individually,27.000000,,"6/23/20, 9:17 AM",0,Puff Bar Disposable E-Cigs 1.3mL - Pack of 10,Puff,,40.0,Lush Ice,Puff,50mg,0,,,,10,disposables_puff_puff bar disposable e-cigs 1.3ml - pack of 10 | 50mg | lush ice,,0,,Z:0,DPFBAP500003
DPFBAP500004,Disposables,Pack of 10,simple,Puff Bar Disposable E-Cigs 1.3mL - Pack of 10 - 5% Nicotine - Mango,0.0,,Not Visible Individually,40.500000,,"6/23/20, 9:17 AM",0,Puff Bar Disposable E-Cigs 1.3mL - Pack of 10,Puff,,30.0,Mango,Puff,50mg,0,,,,10,disposables_puff_puff bar disposable e-cigs 1.3ml - pack of 10 | 50mg | mango,,0,,Z:0,DPFBAP500004
DPFBAP500005,Disposables,Pack of 10,simple,Puff Bar Disposable E-Cigs 1.3mL - Pack of 10 - 5% Nicotine - Menthol,0.0,,Not Visible Individually,40.500000,,"6/23/20, 9:17 AM",0,Puff Bar Disposable E-Cigs 1.3mL - Pack of 10,Puff,,30.0,Menthol,Puff,50mg,0,,,,10,disposables_puff_puff bar disposable e-cigs 1.3ml - pack of 10 | 50mg | menthol,,0,,Z:0,DPFBAP500005
DPFBAP500006,Disposables,Pack of 10,simple,Puff Bar Disposable E-Cigs 1.3mL - Pack of 10 - 5% Nicotine - Pineapple Lemonade,0.0,,Not Visible Individually,47.250000,,"6/23/20, 9:17 AM",0,Puff Bar Disposable E-Cigs 1.3mL - Pack of 10,Puff,,35.0,Pineapple Lemonade,Puff,50mg,0,,,,10,disposables_puff_puff bar disposable e-cigs 1.3ml - pack of 10 | 50mg | pineapple lemonade,,0,,Z:0,DPFBAP500006
DPFBAP500010,Disposables,Pack of 10,simple,Puff Bar Disposable E-Cigs 1.3mL - Pack of 10 - 5% Nicotine - Pink Lemonade,0.0,,Not Visible Individually,40.500000,,"6/23/20, 9:17 AM",0,Puff Bar Disposable E-Cigs 1.3mL - Pack of 10,Puff,,30.0,Pink Lemonade,Puff,50mg,0,,,,10,disposables_puff_puff bar disposable e-cigs 1.3ml - pack of 10 | 50mg | pink lemonade,,0,,Z:0,DPFBAP500010
DPFBAP500007,Disposables,Pack of 10,simple,Puff Bar Disposable E-Cigs 1.3mL - Pack of 10 - 5% Nicotine - Strawberry Banana,0.0,,Not Visible Individually,40.500000,,"6/23/20, 9:17 AM",0,Puff Bar Disposable E-Cigs 1.3mL - Pack of 10,Puff,,30.0,Strawberry Banana,Puff,50mg,0,,,,10,disposables_puff_puff bar disposable e-cigs 1.3ml - pack of 10 | 50mg | strawberry banana,,0,,Z:0,DPFBAP500007
