attribute_set_code,sku,name,unit_per_pack,product_type,weight,visibility,price,created_at,qty,parent_sku,brand,color,flavor,manufacturer,nicotine_level,puff_counts,volume
Disposables,"Lost Mary OS5000 Rechargeable Disposable 10-Pack","Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10 Pack","Pack of 10",configurable,0.900000,"Catalog, Search",,"7/8/22, 8:07 AM",0.0000,,"Lost Mary",,,"Elf Bar",50mg,,
Disposables,"Lost Mary OS5000 Rechargeable Disposable 10-Pack","Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10 Pack","Pack of 10",configurable,0.900000,"Catalog, Search",,"7/8/22, 8:07 AM",0.0000,,"Lost Mary",,,"Elf Bar",50mg,,
Disposables,"Lost Mary OS5000 Rechargeable Disposable 10-Pack","Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10 Pack","Pack of 10",configurable,0.900000,"Catalog, Search",,"7/8/22, 8:07 AM",0.0000,,"Lost Mary",,,"Elf Bar",50mg,,
Disposables,DLOMYP500501,"Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10-Pack-Blue Razz Ice",,simple,1.000000,"Not Visible Individually",99.950000,"7/8/22, 8:13 AM",0.0000,"Lost Mary OS5000 Rechargeable Disposable 10-Pack","Lost Mary",,"Blue Razz Ice","Lost Mary",,,
Disposables,DLOMYP500501,"Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10-Pack-Blue Razz Ice",,simple,1.000000,"Not Visible Individually",99.950000,"7/8/22, 8:13 AM",0.0000,"Lost Mary OS5000 Rechargeable Disposable 10-Pack","Lost Mary",,"Blue Razz Ice","Lost Mary",,,
Disposables,DLOMYP500501,"Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10-Pack-Blue Razz Ice",,simple,1.000000,"Not Visible Individually",99.950000,"7/8/22, 8:13 AM",0.0000,"Lost Mary OS5000 Rechargeable Disposable 10-Pack","Lost Mary",,"Blue Razz Ice","Lost Mary",,,
Disposables,DLOMYP500502,"Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10-Pack-Blueberry Ice",,simple,1.000000,"Not Visible Individually",99.950000,"7/8/22, 8:13 AM",0.0000,"Lost Mary OS5000 Rechargeable Disposable 10-Pack","Lost Mary",,"Blueberry Ice","Lost Mary",,,
Disposables,DLOMYP500502,"Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10-Pack-Blueberry Ice",,simple,1.000000,"Not Visible Individually",99.950000,"7/8/22, 8:13 AM",0.0000,"Lost Mary OS5000 Rechargeable Disposable 10-Pack","Lost Mary",,"Blueberry Ice","Lost Mary",,,
Disposables,DLOMYP500502,"Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10-Pack-Blueberry Ice",,simple,1.000000,"Not Visible Individually",99.950000,"7/8/22, 8:13 AM",0.0000,"Lost Mary OS5000 Rechargeable Disposable 10-Pack","Lost Mary",,"Blueberry Ice","Lost Mary",,,
Disposables,DLOMYP500503,"Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10-Pack-Cranberry Soda",,simple,1.000000,"Not Visible Individually",99.950000,"7/8/22, 8:13 AM",0.0000,"Lost Mary OS5000 Rechargeable Disposable 10-Pack","Lost Mary",,"Cranberry Soda","Lost Mary",,,
Disposables,DLOMYP500503,"Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10-Pack-Cranberry Soda",,simple,1.000000,"Not Visible Individually",99.950000,"7/8/22, 8:13 AM",0.0000,"Lost Mary OS5000 Rechargeable Disposable 10-Pack","Lost Mary",,"Cranberry Soda","Lost Mary",,,
Disposables,DLOMYP500503,"Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10-Pack-Cranberry Soda",,simple,1.000000,"Not Visible Individually",99.950000,"7/8/22, 8:13 AM",0.0000,"Lost Mary OS5000 Rechargeable Disposable 10-Pack","Lost Mary",,"Cranberry Soda","Lost Mary",,,
Disposables,DLOMYP500504,"Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10-Pack-Juicy Peach",,simple,1.000000,"Not Visible Individually",99.950000,"7/8/22, 8:13 AM",0.0000,"Lost Mary OS5000 Rechargeable Disposable 10-Pack","Lost Mary",,"Juicy Peach","Lost Mary",,,
Disposables,DLOMYP500504,"Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10-Pack-Juicy Peach",,simple,1.000000,"Not Visible Individually",99.950000,"7/8/22, 8:13 AM",0.0000,"Lost Mary OS5000 Rechargeable Disposable 10-Pack","Lost Mary",,"Juicy Peach","Lost Mary",,,
Disposables,DLOMYP500504,"Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10-Pack-Juicy Peach",,simple,1.000000,"Not Visible Individually",99.950000,"7/8/22, 8:13 AM",0.0000,"Lost Mary OS5000 Rechargeable Disposable 10-Pack","Lost Mary",,"Juicy Peach","Lost Mary",,,
Disposables,DLOMYP500505,"Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10-Pack-Kiwi Passionfruit Guava",,simple,1.000000,"Not Visible Individually",99.950000,"7/8/22, 8:13 AM",0.0000,"Lost Mary OS5000 Rechargeable Disposable 10-Pack","Lost Mary",,"Kiwi Passionfruit Guava","Lost Mary",,,0.5mL
Disposables,DLOMYP500505,"Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10-Pack-Kiwi Passionfruit Guava",,simple,1.000000,"Not Visible Individually",99.950000,"7/8/22, 8:13 AM",0.0000,"Lost Mary OS5000 Rechargeable Disposable 10-Pack","Lost Mary",,"Kiwi Passionfruit Guava","Lost Mary",,,0.5mL
