default_code,name,categ_id,list_price,standard_price,type,x_puff_count,x_flavor,x_volume,x_nicotine_level,x_pack_size
DGEBAP500002,geek bar disposable 10 pack | blueberry ice,Disposables,19.99,36.5,goods,0,Blueberry Ice,,,10
DGEBAP500008,geek bar disposable 10 pack | sweet strawberry,Disposables,19.99,36.5,goods,0,Sweet Strawberry,,,10
DGEBAP500004,geek bar disposable 10 pack | mango ice,Disposables,19.99,36.5,goods,0,Mango Ice,,,10
DGEBAP500010,geek bar disposable 10 pack | watermelon ice,Disposables,19.99,36.5,goods,0,Watermelon Ice,,,10
DGEBAP500005,geek bar disposable 10 pack | menthol,Disposables,19.99,35.0,goods,0,Menthol,,,10
DGEBAP500007,geek bar disposable 10 pack | sour apple,Disposables,19.99,36.5,goods,0,Sour Apple,,,10
DGEBAP500003,geek bar disposable 10 pack | lychee ice,Disposables,19.99,36.5,goods,0,Lychee Ice,,,10
DGEBAP500001,geek bar disposable 10 pack | banana ice,Disposables,19.99,36.5,goods,0,Banana Ice,,,10
DGEBAP500006,geek bar disposable 10 pack | peach ice,Disposables,19.99,36.5,goods,0,Peach Ice,,,10
DGEBAP500009,geek bar disposable 10 pack | tobacco,Disposables,19.99,35.0,goods,0,Tobacco,,,10
Geek Bar Pro Disposable 1500 Puffs - Aloe Mango Melon Ice,geek bar pro disposable 1500 puffs | aloe mango melon ice,Disposables,9.0,5.8,goods,0,Aloe Mango Melon Ice,,,1
Geek Bar Pro Disposable 1500 Puffs - Blueberry Raspberry Lemon,geek bar pro disposable 1500 puffs | blueberry raspberry lemon,Disposables,9.0,5.8,goods,0,Blueberry Raspberry Lemon,,,1
Geek Bar Pro Disposable 1500 Puffs - Grape Soda,geek bar pro disposable 1500 puffs | grape soda,Disposables,9.0,5.8,goods,0,Grape Soda,,,1
Geek Bar Pro Disposable 1500 Puffs - Guava Ice,geek bar pro disposable 1500 puffs | guava ice,Disposables,9.0,5.8,goods,0,Guava Ice,,,1
Geek Bar Pro Disposable 1500 Puffs - Icy Cola,geek bar pro disposable 1500 puffs | icy cola,Disposables,9.0,5.8,goods,0,Icy Cola,,,1
Geek Bar Pro Disposable 1500 Puffs - Lush Ice,geek bar pro disposable 1500 puffs | lush ice,Disposables,9.0,5.8,goods,0,Lush Ice,,,1
Geek Bar Pro Disposable 1500 Puffs - Mixed Berries,geek bar pro disposable 1500 puffs | mixed berries,Disposables,9.0,5.8,goods,0,Mixed Berries,,,1
Geek Bar Pro Disposable 1500 Puffs - Orange Soda,geek bar pro disposable 1500 puffs | orange soda,Disposables,9.0,5.8,goods,0,Orange Soda,,,1
Geek Bar Pro Disposable 1500 Puffs - Peach Ice,geek bar pro disposable 1500 puffs | peach ice,Disposables,9.0,5.8,goods,0,Peach Ice,,,1
Geek Bar Pro Disposable 1500 Puffs - Strawberry Banana,geek bar pro disposable 1500 puffs | strawberry banana,Disposables,9.0,5.8,goods,0,Strawberry Banana,,,1
DGEBAP500011,geek bar disposable 10 pack | blueberry bubble gum,Disposables,19.99,36.5,goods,0,Blueberry Bubble Gum,,,10
DGEBAP500012,geek bar disposable 10 pack | blackcurrant menthol,Disposables,19.99,36.5,goods,0,Blackcurrant Menthol,,,10
DGEBAP500013,geek bar disposable 10 pack | lemon tart,Disposables,19.99,36.5,goods,0,Lemon Tart,,,10
DGEBAP500015,geek bar disposable 10 pack | grape,Disposables,19.99,36.5,goods,0,Grape,,,10
DGEBAP500014,geek bar disposable 10 pack | pink lemonade,Disposables,19.99,36.5,goods,0,Pink Lemonade,,,10
