product,BoM Type,BoM Lines/Component,BoM Lines/Quantity
ONT028290,Kit,PJUHES062001,5
ONT028291,Kit,PJUHES122001,5
ONT028292,Kit,PJUHES062003,5
ONT028293,Kit,PJUHES122003,5
ONT028294,Kit,PJUHES062004,5
ONT028295,Kit,PJUHES122004,5
ONT028296,Kit,PJUHES062005,5
ONT028297,Kit,PJUHES122005,5
ONT028298,Kit,PJUHES062002,5
ONT028299,Kit,PJUHES122002,5
DEBULP500512,Kit,DEBULS500512,10
DHFTUP500101,Kit,DHFTUS500101,10
DHFTUP500102,Kit,DHFTUS500102,10
DHFTUP500103,Kit,DHFTUS500103,10
DHFTUP500104,Kit,DHFTUS500104,10
DHFTUP500105,Kit,DHFTUS500105,10
DHFTUP500106,Kit,DHFTUS500106,10
DHFTUP500107,Kit,DHFTUS500107,10
DHFTUP500108,Kit,DHFTUS500108,10
DHFTUP500109,Kit,DHFTUS500109,10
DHFTUP500110,Kit,DHFTUS500110,10
DHFTUP500111,Kit,DHFTUS500111,10
DHFTUP500112,Kit,DHFTUS500112,10
DHFTUP500113,Kit,DHFTUS500113,10
DHFTUP500114,Kit,DHFTUS500114,10
DHFTUP500115,Kit,DHFTUS500115,10
DEFVPP500702,Kit,DEFVRS500712,10
DEFVPP500703,Kit,DEFVRS500713,10
DEFVPP500704,Kit,DEFVRS500714,10
DEFVPP500705,Kit,DEFVRS500705,10
DEFVPP500706,Kit,DEFVRS500711,10
DEFVPP500707,Kit,DEFVRS500715,10
DEFVPP500708,Kit,DEFVRS500716,10
DEFVPP500709,Kit,DEFVRS500717,10
DEFVPP500710,Kit,DEFVRS500718,10
DEFVPP500711,Kit,DEFVRS500707,10
DEFVPP500712,Kit,DEFVRS500708,10
DEFVPP500713,Kit,DEFVRS500720,10
DEFVPP500714,Kit,DEFVRS500721,10
DEFVPP500715,Kit,DEFVRS500722,10
DEFVPP500716,Kit,DEFVRS500723,10
DEFVPP500717,Kit,DEFVRS500709,10
HFIR166FDE50AGW,Kit,DFIFTS500601,10
HFIR166FDE50BCMD,Kit,DFIFTS500617,10
HFIR166FDE50CFC,Kit,DFIFTS500619,10
HFIR166FDE50DPI,Kit,DFIFTS500605,10
HFIR166FDE50JMMI,Kit,DFIFTS500604,10
HFIR166FDE50MT,Kit,DFIFTS500602,10
HFIR166FDE50SCMD,Kit,DFIFTS500620,10
HFIR166FDE50TO,Kit,DFIFTS500607,10
HFIR166FDE50VACD,Kit,DFIFTS500606,10
HFIR166FDE50BRI,Kit,DFIFTS500603,10
DPALAP500801,Kit,DPALAS500801,5
DPALAP500802,Kit,DPALAS500803,5
DPALAP500803,Kit,DPALAS500805,5
DPALAP500804,Kit,DPALAS500806,5
DPALAP500805,Kit,DPALAS500807,5
DPALAP500806,Kit,DPALAS500808,5
DPALAP500807,Kit,DPALAS500809,5
DPALAP500808,Kit,DPALAS500812,5
DPALAP500809,Kit,DPALAS500813,5
DPALAP500810,Kit,DPALAS500814,5
DPALAP500811,Kit,DPALAS500815,5
CALIPODSUL8000RECH18MLD6-FROGRA,Kit,DCAPOS500808,6
CALIPODSUL8000RECH18MLD6-FROPEA,Kit,DCAPOS500807,6
CALIPODSUL8000RECH18MLD6-STRBANN,Kit,DCAPOS500803,6
CALIPODSUL8000RECH18MLD6-FROAPPWAT,Kit,DCAPOS500814,6
CALIPODSUL8000RECH18MLD6-STRARAS,Kit,DCAPOS500811,6
ORIONBAR5500PUFFS-BLURZ,Kit,DOBOBS500501,10
ORIONBAR5500PUFFS-FREMI,Kit,DOBOBS500503,10
ORIONBAR5500PUFFS-KIWPASFRUGU,Kit,DOBOBS500505,10
ORIONBAR5500PUFFS-PINLEMMIN,Kit,DOBOBS500506,10
ORIONBAR5500PUFFS-STBWAT,Kit,DOBOBS500508,10
ORIONBAR5500PUFFS-CRECAN,Kit,DOBOBS500502,10
ORIONBAR5500PUFFS-KIWBER,Kit,DOBOBS500504,10
ORIONBAR5500PUFFS-STBDRGFRU,Kit,DOBOBS500507,10
ORIONBAR5500PUFFS-TRIBER,Kit,DOBOBS500509,10
