name,location_type,parent_location,posx,posy,posz,level
Z,internal,WH,0,0,0,1
J,internal,WH,0,0,0,1
A,internal,WH,0,0,0,1
G,internal,WH,0,0,0,1
F,internal,WH,0,0,0,1
E,internal,WH,0,0,0,1
B,internal,WH,0,0,0,1
D,internal,WH,0,0,0,1
C,internal,WH,0,0,0,1
K,internal,WH,0,0,0,1
P,internal,WH,0,0,0,1
M2,internal,WH,0,0,0,1
5056716404408,internal,WH,0,0,0,1
M4,internal,WH,0,0,0,1
M3,internal,WH,0,0,0,1
M1,internal,WH,0,0,0,1
M5,internal,WH,0,0,0,1
M6,internal,WH,0,0,0,1
B-9-3B-9-3,internal,WH,0,0,0,1
Stock,internal,WH,0,0,0,1
7,internal,WH/J,0,0,0,2
3,internal,WH/J,0,0,0,2
1,internal,WH/J,0,0,0,2
2,internal,WH/A,0,0,0,2
6,internal,WH/G,0,0,0,2
2,internal,WH/F,0,0,0,2
3,internal,WH/A,0,0,0,2
6,internal,WH/J,0,0,0,2
5,internal,WH/J,0,0,0,2
9,internal,WH/A,0,0,0,2
4,internal,WH/A,0,0,0,2
7,internal,WH/G,0,0,0,2
5,internal,WH/A,0,0,0,2
9,internal,WH/E,0,0,0,2
8,internal,WH/E,0,0,0,2
7,internal,WH/E,0,0,0,2
8,internal,WH/B,0,0,0,2
6,internal,WH/D,0,0,0,2
8,internal,WH/G,0,0,0,2
3,internal,WH/C,0,0,0,2
4,internal,WH/B,0,0,0,2
3,internal,WH/D,0,0,0,2
2,internal,WH/D,0,0,0,2
5,internal,WH/E,0,0,0,2
6,internal,WH/A,0,0,0,2
6,internal,WH/F,0,0,0,2
8,internal,WH/A,0,0,0,2
6,internal,WH/E,0,0,0,2
5,internal,WH/G,0,0,0,2
3,internal,WH/B,0,0,0,2
7,internal,WH/D,0,0,0,2
5,internal,WH/B,0,0,0,2
7,internal,WH/A,0,0,0,2
5,internal,WH/F,0,0,0,2
2,internal,WH/E,0,0,0,2
1,internal,WH/D,0,0,0,2
4,internal,WH/F,0,0,0,2
4,internal,WH/D,0,0,0,2
0,internal,WH/F,0,0,0,2
2,internal,WH/C,0,0,0,2
3,internal,WH/F,0,0,0,2
5,internal,WH/D,0,0,0,2
4,internal,WH/C,0,0,0,2
2,internal,WH/J,0,0,0,2
1,internal,WH/K,0,0,0,2
1,internal,WH/F,0,0,0,2
5,internal,WH/C,0,0,0,2
6,internal,WH/C,0,0,0,2
8,internal,WH/D,0,0,0,2
4,internal,WH/E,0,0,0,2
3,internal,WH/E,0,0,0,2
7,internal,WH/C,0,0,0,2
8,internal,WH/C,0,0,0,2
1,internal,WH/E,0,0,0,2
1,internal,WH/C,0,0,0,2
1,internal,WH/A,0,0,0,2
1,internal,WH/B,0,0,0,2
6,internal,WH/B,0,0,0,2
1,internal,WH/G,0,0,0,2
2,internal,WH/G,0,0,0,2
8,internal,WH/F,0,0,0,2
2,internal,WH/B,0,0,0,2
7,internal,WH/B,0,0,0,2
3,internal,WH/G,0,0,0,2
4,internal,WH/G,0,0,0,2
9,internal,WH/D,0,0,0,2
7,internal,WH/F,0,0,0,2
10,internal,WH/D,0,0,0,2
9,internal,WH/B,0,0,0,2
