name,location_type,parent_location,posx,posy,posz
7,internal,WH/J,0,0,0
3,internal,WH/J,0,0,0
1,internal,WH/J,0,0,0
2,internal,WH/A,0,0,0
6,internal,WH/G,0,0,0
2,internal,WH/F,0,0,0
3,internal,WH/A,0,0,0
6,internal,WH/J,0,0,0
5,internal,WH/J,0,0,0
9,internal,WH/A,0,0,0
4,internal,WH/A,0,0,0
7,internal,WH/G,0,0,0
5,internal,WH/A,0,0,0
9,internal,WH/E,0,0,0
8,internal,WH/E,0,0,0
7,internal,WH/E,0,0,0
8,internal,WH/B,0,0,0
6,internal,WH/D,0,0,0
8,internal,WH/G,0,0,0
3,internal,WH/C,0,0,0
4,internal,WH/B,0,0,0
3,internal,WH/D,0,0,0
2,internal,WH/D,0,0,0
5,internal,WH/E,0,0,0
6,internal,WH/A,0,0,0
6,internal,WH/F,0,0,0
8,internal,WH/A,0,0,0
6,internal,WH/E,0,0,0
5,internal,WH/G,0,0,0
3,internal,WH/B,0,0,0
7,internal,WH/D,0,0,0
5,internal,WH/B,0,0,0
7,internal,WH/A,0,0,0
5,internal,WH/F,0,0,0
2,internal,WH/E,0,0,0
1,internal,WH/D,0,0,0
4,internal,WH/F,0,0,0
4,internal,WH/D,0,0,0
0,internal,WH/F,0,0,0
2,internal,WH/C,0,0,0
3,internal,WH/F,0,0,0
5,internal,WH/D,0,0,0
4,internal,WH/C,0,0,0
2,internal,WH/J,0,0,0
1,internal,WH/K,0,0,0
1,internal,WH/F,0,0,0
5,internal,WH/C,0,0,0
6,internal,WH/C,0,0,0
8,internal,WH/D,0,0,0
4,internal,WH/E,0,0,0
3,internal,WH/E,0,0,0
7,internal,WH/C,0,0,0
8,internal,WH/C,0,0,0
1,internal,WH/E,0,0,0
1,internal,WH/C,0,0,0
1,internal,WH/A,0,0,0
1,internal,WH/B,0,0,0
6,internal,WH/B,0,0,0
1,internal,WH/G,0,0,0
2,internal,WH/G,0,0,0
8,internal,WH/F,0,0,0
2,internal,WH/B,0,0,0
7,internal,WH/B,0,0,0
3,internal,WH/G,0,0,0
4,internal,WH/G,0,0,0
9,internal,WH/D,0,0,0
7,internal,WH/F,0,0,0
10,internal,WH/D,0,0,0
9,internal,WH/B,0,0,0
