default_code,name,categ_id,list_price,standard_price,type,barcode,weight,x_puff_count,x_flavor,x_volume,x_nicotine_level,x_pack_size,x_brand,x_resistance
DLMMOP500518,Lost Mary MO5000 Disposable by Elf Bar 5-Pack-Kiwi Fuse,All / Disposables,55.0,40.5,goods,,0.0,5000,Kiwi Fuse,0,0,5,Elf Bar,
DLOMYP500514,Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10 Pack-Mary Dream,All / Disposables,99.95,81.0,goods,,0.0,0,Mary Dream,0,0,10,Lost Mary,
DLOMYP500515,Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10 Pack-Black Mint,All / Disposables,99.95,81.0,goods,,0.0,0,Black Mint,0,0,10,Lost Mary,
DLOMYP500516,Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10 Pack-Spearmint,All / Disposables,99.95,81.0,goods,,0.0,0,Spearmint,0,0,10,Lost Mary,
DLOMYP500517,Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10 Pack-Watermelon Lemon,All / Disposables,99.95,81.0,goods,,0.0,0,Watermelon Lemon,0,0,10,Lost Mary,
DLOMYP500518,Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10 Pack-Peach Mango Watermelon,All / Disposables,99.95,81.0,goods,,0.0,0,Peach Mango Watermelon,0,0,10,Lost Mary,
DLOMYP500519,Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10 Pack-Mad Blue,All / Disposables,99.95,81.0,goods,5056716402602,27.23,0,Mad Blue,0,0,10,Lost Mary,
DLOMYP500520,Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10 Pack-Cherry Peach Lemonade,All / Disposables,99.95,81.0,goods,,0.0,0,Cherry Peach Lemonade,0,0,10,Lost Mary,
DLOMYP500521,Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10 Pack-Cherry Cola,All / Disposables,99.95,81.0,goods,,0.0,0,Cherry Cola,0,0,10,Lost Mary,
DEBTE50A0501,Elf Bar TE5000 5000 Puffs Disposable 10-Pack-Vanilla Ice Cream,All / Disposables,20.0,87.5,goods,,0.0,0,Vanilla Ice Cream,0,0,10,Elf Bar,
DEBTE500503,Elf Bar TE5000 5000 Puffs Disposable 10-Pack-Blue Razz Ice,All / Disposables,20.0,81.0,goods,,0.0,0,Blue Razz Ice,0,0,10,Elf Bar,
DEBTE500504,Elf Bar TE5000 5000 Puffs Disposable 10-Pack-Blue Razz Lemonade,All / Disposables,20.0,87.5,goods,,0.0,0,Blue Razz Lemonade,0,0,10,Elf Bar,
DEBTE500505,Elf Bar TE5000 5000 Puffs Disposable 10-Pack-Kiwi Passion Fruit Guava,All / Disposables,20.0,87.5,goods,,0.0,0,Kiwi Passion Fruit Guava,0,0,10,Elf Bar,
DEBTE500506,Elf Bar TE5000 5000 Puffs Disposable 10-Pack-Strawberry Ice Cream,All / Disposables,20.0,87.5,goods,,0.0,0,Strawberry Ice Cream,0,0,10,Elf Bar,
DEBTE500507,Elf Bar TE5000 5000 Puffs Disposable 10-Pack-Strawberry Ice,All / Disposables,20.0,85.0,goods,,0.0,0,Strawberry Ice,0,0,10,Elf Bar,
DEBTE500508,Elf Bar TE5000 5000 Puffs Disposable 10-Pack-Apple Peach,All / Disposables,20.0,81.0,goods,,0.0,0,Apple Peach,0,0,10,Elf Bar,
